,logFC,AveExpr,t,P.Value,adj.P.Val,B
MUCL1,-4.845595108,8.01489381,-9.193080563,1.04E-16,2.02E-14,27.41781292
OGFRL1,1.251408315,7.167250538,9.182296521,1.11E-16,2.14E-14,27.351394
CENPF,1.043207267,6.188600684,9.177035031,1.15E-16,2.19E-14,27.31899823
SILC1,-1.162547631,2.990234543,-9.172482413,1.18E-16,2.24E-14,27.29097226
USP13,0.930678638,6.646657798,9.108828774,1.76E-16,3.31E-14,26.89962655
FZD9,1.468745714,3.035759548,9.09560916,1.92E-16,3.56E-14,26.81847149
SYTL2,-1.665303293,7.25670081,-9.07454536,2.19E-16,4.03E-14,26.68924714
DUSP10,-1.397569289,6.518101431,-9.072204597,2.22E-16,4.05E-14,26.67489334
SLC25A18,-1.826643639,3.835494947,-9.070223759,2.25E-16,4.07E-14,26.66274767
DDX11,0.926282042,6.380640182,9.058318343,2.42E-16,4.34E-14,26.58976853
COL27A1,1.035882033,5.292203503,9.056290932,2.45E-16,4.36E-14,26.57734409
ANKRD30A,-4.017387443,5.951439867,-9.051229809,2.53E-16,4.45E-14,26.54633268
TRIM2,1.350809351,5.068673198,9.050344763,2.54E-16,4.45E-14,26.54091031
TCF7L1,2.016791494,6.856417917,9.048143615,2.58E-16,4.48E-14,26.52742545
GPD1L,-1.401096006,8.131563335,-9.034132498,2.82E-16,4.85E-14,26.44161691
STARD10,-1.038645047,6.428801122,-8.997871626,3.53E-16,5.99E-14,26.21976612
JKAMP,-0.722226131,7.483544809,-8.997448469,3.54E-16,5.99E-14,26.21717907
ERGIC1,-0.988717017,6.170206878,-8.973894302,4.10E-16,6.89E-14,26.07324603
CDCA3,1.346837848,6.62415991,8.959027385,4.50E-16,7.50E-14,25.98246924
DUSP4,-2.099462929,7.377307737,-8.957132492,4.56E-16,7.53E-14,25.97090306
PTX3,2.817084344,4.859127667,8.952933236,4.68E-16,7.67E-14,25.94527455
PABPC4L,1.437421884,4.829637291,8.92218872,5.66E-16,9.21E-14,25.75777219
LFNG,-1.252101033,5.039267055,-8.918518149,5.80E-16,9.35E-14,25.73540231
ACOX2,-2.448788439,6.292962929,-8.843240758,9.25E-16,1.48E-13,25.27739052
AK2,0.811134195,7.239226969,8.825506623,1.03E-15,1.64E-13,25.16970299
