"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"POSTN",4.5894886735491,8.11048122863279,15.5776660693773,5.24015656153091e-35,2.870364706007e-32,68.9490167489264,"Upregulated"
"CD163",4.51586938955389,6.18184551784438,16.8533936399592,1.23924921547109e-38,1.03179889680123e-35,77.1968958916185,"Upregulated"
"ADA2",4.50806455867646,7.08887718801697,16.5515509666928,8.8264753268199e-38,6.56153871170558e-35,75.2581290142249,"Upregulated"
"TMEM176A",4.4886150484045,7.49157056546239,14.0421545181036,1.40189640914513e-30,4.94584300955185e-28,58.8722295934189,"Upregulated"
"VCAM1",4.47779730639837,7.59822029440747,13.3204652677696,1.7414961753347e-28,4.53115536119897e-26,54.1044104079715,"Upregulated"
"CCL4",4.39194106111647,6.68139934040738,14.5120764423893,6.11567151110714e-32,2.5459540500739e-29,61.968782441712,"Upregulated"
"CSF2RB",4.37931662926579,6.64044277062082,13.3465544357825,1.46270886940959e-28,3.91557382138713e-26,54.2769073961992,"Upregulated"
"MGP",4.35535042418353,9.38607369194655,8.71796907224437,2.01015686446324e-15,1.09532500350268e-13,24.3965662634128,"Upregulated"
"FGL2",4.32428252244137,7.05394832349466,16.8983742842769,9.25566495004333e-39,8.36770257130735e-36,77.4850783245224,"Upregulated"
"HCLS1",4.31341789208596,7.48604470068646,18.0911316346978,4.33202168911913e-42,5.30417832111852e-39,85.0521681317521,"Upregulated"
"SRGN",4.29388760417579,7.51175471023224,14.1186007369913,8.41772307062446e-31,3.02094665025945e-28,59.3765293451648,"Upregulated"
"MMP1",4.28937889178109,6.65434717312069,7.23553380601985,1.35498255638447e-11,3.52990762342213e-10,15.7310669310588,"Upregulated"
"FCGR1BP",4.28119898732873,6.38026464149976,14.9106201332515,4.32559447560479e-33,1.91568614914284e-30,64.5872432348963,"Upregulated"
"MS4A7",4.26390394915503,6.94016364379718,15.6423936999676,3.42000608579669e-35,2.03392647645309e-32,69.3706677489008,"Upregulated"
"MPEG1",4.25512886120038,6.67994069648153,15.7898402991715,1.29529564878176e-35,8.17017543314917e-33,70.3300116921738,"Upregulated"
"PROM1",4.24439302699947,7.80674587383613,6.26942354142475,2.69067956357355e-09,4.04963811393951e-08,10.556294109797,"Upregulated"
"ASPN",4.23078814259241,7.61007306093862,9.68839170314549,4.4841871505965e-18,3.5489869026489e-16,30.4159440115447,"Upregulated"
"FNDC1",4.21638141538481,7.51081981294734,11.5062753710496,3.13692133176976e-23,4.73152300875273e-21,42.140120277097,"Upregulated"
"CD52",4.20932241270593,6.16092959807018,12.0837319428874,6.74889091133741e-25,1.25426932428115e-22,45.9350739414941,"Upregulated"
"ZNF521",4.12931221621082,6.34328208724373,13.3460875981632,1.46728204692864e-28,3.91557382138713e-26,54.2738207900803,"Upregulated"
"GIMAP4",4.08139799316912,5.88575227512498,14.933222627443,3.72314252742729e-33,1.68472199366085e-30,64.735490956269,"Upregulated"
